graph_id,source_observer,target_observer,n_edges,source_boundary_nodes,target_boundary_nodes,edge_mi_bits,edge_mi_norm,edge_h_input_bits,live_edge,edges
17,2,1,2,1,2,0.5904472485257708,0.2952236242628854,2.0,1,8->15 8->16
17,3,2,1,1,1,0.771782221599798,0.385891110799899,2.0,1,6->10
17,4,1,2,2,1,0.09240701620746883,0.023101754051867207,4.0,1,13->16 14->16
17,4,2,1,1,1,0.05519815167809483,0.027599075839047416,2.0,1,14->9
18,1,0,2,2,2,0.5168122136375892,0.1292030534093973,4.0,1,1->8 2->10
18,2,1,1,1,1,0.5959754095806153,0.2979877047903077,2.0,1,6->1
18,4,0,2,2,2,0.07308935432384445,0.01827233858096111,4.0,1,15->8 16->11
18,4,3,1,1,1,0.3522170014624826,0.1761085007312413,2.0,1,15->14
19,2,1,1,1,1,0.375,0.1875,2.0,1,14->17
19,3,2,1,1,1,0.24899922306228062,0.12449961153114031,2.0,1,5->14
20,1,0,1,1,1,0.07200671776696677,0.03600335888348338,2.0,1,0->5
20,2,0,2,2,2,0.21847716481146673,0.05461929120286668,4.0,1,12->5 13->7
20,2,1,1,1,1,0.08014146427328273,0.04007073213664136,2.0,1,13->3
